;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Название;Вид;Способ;Состав;Тип;%;г;р;Масса;Вес ингр-тов;Траты всего;Потери, %;Маржа;Цена за 1 кг;ЧП;Ссылка интернет;Ссылка ПК;Наличие;Примечание;;
Сардельки Свиные;Сосиски;Вареное;Фосфат;Специи;0,30%;3,00 г;2,24 ₽;3500,00 г;10,50 г;7,85 ₽;;70%;3,81 ₽;1,57 ₽;https://www.youtube.com/watch?v=Mu_glCpe-Y8;D:\Video\Колбаса_рецепты\Сочные домашние сардельки Кнакеры.  Как сделать корочку, чтобы сардельки ''хрупали'' при укусе..mp12;Да;;;
Сардельки Свиные;Сосиски;Вареное;Чеснок сушеный;Специи;0,06%;0,60 г;0,53 ₽;3500,00 г;2,10 г;1,84 ₽;;70%;0,90 ₽;0,37 ₽;https://www.youtube.com/watch?v=Mu_glCpe-Y8;D:\Video\Колбаса_рецепты\Сочные домашние сардельки Кнакеры.  Как сделать корочку, чтобы сардельки ''хрупали'' при укусе..mp13;Да;;;
Сардельки Свиные;Сосиски;Вареное;Свиная черева 32/34;Оболочка;0,10%;1,00 г;39,35 ₽;3500,00 г;3,50 г;137,72 ₽;;70%;66,89 ₽;27,54 ₽;https://www.youtube.com/watch?v=Mu_glCpe-Y8;D:\Video\Колбаса_рецепты\Сочные домашние сардельки Кнакеры.  Как сделать корочку, чтобы сардельки ''хрупали'' при укусе..mp14;Нет;;;
Курица ГК;Цельное;ГК;Курица целая;Птица;100,00%;1000,00 г;200,00 ₽;3500,00 г;3500,00 г;700,00 ₽;15%;90%;447,06 ₽;211,76 ₽;https://www.youtube.com/watch?v=bwqN7FZs5Ds;D:\Video\Колбаса_рецепты\КУРИЦА горячего копчения в коптильне уэк москит.mp4;Да;;;
Курица ГК;Цельное;ГК;Вода;Добавки;10,00%;100,00 г;0,10 ₽;3500,00 г;350,00 г;0,35 ₽;;90%;0,19 ₽;0,09 ₽;https://www.youtube.com/watch?v=AyC9SVj43Sg;D:\Video\Колбаса_рецепты\ХИТ!!! Курица копчено-вареная. Как правильно шприцевать и коптить. Как сделать золотистую корочку.mp4;Да;;;
Курица ГК;Цельное;ГК;Соль пищевая;Специи;0,90%;9,00 г;0,35 ₽;3500,00 г;31,50 г;1,21 ₽;;90%;0,66 ₽;0,31 ₽;https://www.youtube.com/watch?v=AyC9SVj43Sg;D:\Video\Колбаса_рецепты\ХИТ!!! Курица копчено-вареная. Как правильно шприцевать и коптить. Как сделать золотистую корочку.mp5;Да;;;
Курица ГК;Цельное;ГК;Соль нитритная;Специи;0,90%;9,00 г;1,15 ₽;3500,00 г;31,50 г;4,03 ₽;;90%;2,19 ₽;1,04 ₽;https://www.youtube.com/watch?v=AyC9SVj43Sg;D:\Video\Колбаса_рецепты\ХИТ!!! Курица копчено-вареная. Как правильно шприцевать и коптить. Как сделать золотистую корочку.mp6;Да;;;
Курица ГК;Цельное;ГК;Сахар;Специи;0,30%;3,00 г;0,24 ₽;3500,00 г;10,50 г;0,85 ₽;;90%;0,46 ₽;0,22 ₽;https://www.youtube.com/watch?v=AyC9SVj43Sg;D:\Video\Колбаса_рецепты\ХИТ!!! Курица копчено-вареная. Как правильно шприцевать и коптить. Как сделать золотистую корочку.mp7;Да;;;
Грудинка свиная ГК;Цельное;ГК;Грудинка свиная;Свинина;100,00%;1000,00 г;429,99 ₽;3500,00 г;3500,00 г;1 504,97 ₽;15%;90%;961,15 ₽;455,28 ₽;https://www.youtube.com/watch?v=VJPh2ER-Zuw;D:\Video\Колбаса_рецепты\ГРУДИНКА ЩЕКОВИНА ГОРЯЧЕГО КОПЧЕНИЯ В моските.mp4;Нет;;;
Грудинка свиная ГК;Цельное;ГК;Вода;Добавки;10,00%;100,00 г;0,10 ₽;3500,00 г;350,00 г;0,35 ₽;;90%;0,19 ₽;0,09 ₽;https://www.youtube.com/watch?v=VJPh2ER-Zuw;D:\Video\Колбаса_рецепты\ГРУДИНКА ЩЕКОВИНА ГОРЯЧЕГО КОПЧЕНИЯ В моските.mp5;Да;;;
